epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,308.351,1.19703,2.22631,1.56222,0.7598,0.77719,0.78812,0.54736,1.08379,1.17027,1.46638,0.00332869,0.00332869,0.00332869
2,614.849,1.25239,1.59602,1.5538,0.61203,0.6403,0.65346,0.43148,1.25685,1.45965,1.65115,0.00659607,0.00659607,0.00659607
3,920.801,1.41393,1.87328,1.67804,0.49878,0.44305,0.4797,0.26892,1.47533,2.77723,1.8661,0.00979745,0.00979745,0.00979745
4,1219.85,1.54468,2.19113,1.77891,0.46922,0.47598,0.44293,0.24757,1.49642,2.29479,1.83477,0.009703,0.009703,0.009703
5,1521.43,1.52604,2.06773,1.76258,0.59844,0.52746,0.55374,0.34451,1.34837,2.13373,1.74627,0.009604,0.009604,0.009604
6,1824.18,1.41119,1.84001,1.67673,0.64241,0.64563,0.68355,0.43791,1.26757,1.59161,1.5783,0.009505,0.009505,0.009505
7,2121.57,1.33712,1.68511,1.62707,0.75393,0.67843,0.75557,0.4975,1.19054,1.36718,1.61084,0.009406,0.009406,0.009406
8,2420.78,1.33083,1.61988,1.62594,0.61992,0.5283,0.57496,0.38003,1.4807,2.00505,1.87581,0.009307,0.009307,0.009307
9,2722.04,1.2646,1.49592,1.57556,0.80441,0.70058,0.81021,0.55591,1.10607,1.23527,1.52894,0.009208,0.009208,0.009208
10,3024.04,1.23749,1.41692,1.55629,0.83286,0.78568,0.82854,0.57562,1.09392,1.13902,1.50424,0.009109,0.009109,0.009109
11,3321.21,1.21483,1.37207,1.54692,0.79301,0.78014,0.85293,0.59399,1.0555,1.01226,1.52437,0.00901,0.00901,0.00901
12,3615.97,1.16762,1.29162,1.51597,0.82926,0.85577,0.89825,0.63522,1.01718,0.95572,1.46302,0.008911,0.008911,0.008911
13,3918.92,1.14932,1.21327,1.49385,0.7976,0.77643,0.82504,0.59415,1.03615,0.99885,1.43393,0.008812,0.008812,0.008812
14,4219.33,1.12502,1.19612,1.47525,0.83593,0.83365,0.88214,0.64863,0.97179,0.88375,1.41244,0.008713,0.008713,0.008713
15,4510.95,1.12525,1.15332,1.46711,0.84797,0.85446,0.89139,0.66074,0.94618,0.86002,1.41411,0.008614,0.008614,0.008614
16,4790.04,1.10641,1.1447,1.45689,0.86583,0.83197,0.87751,0.65312,0.95777,0.83003,1.37191,0.008515,0.008515,0.008515
17,5069.13,1.07078,1.08953,1.42399,0.89492,0.85857,0.91804,0.68544,0.96408,0.80474,1.39333,0.008416,0.008416,0.008416
18,5347.51,1.06751,1.06029,1.42626,0.89826,0.8496,0.9081,0.68434,0.89228,0.76052,1.36256,0.008317,0.008317,0.008317
19,5627.3,1.05179,1.03094,1.42084,0.89728,0.85836,0.91859,0.68482,0.94865,0.75371,1.42263,0.008218,0.008218,0.008218
20,5927.18,1.04328,1.01852,1.41464,0.9125,0.8722,0.92748,0.70984,0.94602,0.72759,1.39465,0.008119,0.008119,0.008119
21,6225.43,1.0197,0.9783,1.39666,0.91927,0.89767,0.93738,0.71655,0.91017,0.7311,1.35782,0.00802,0.00802,0.00802
22,6529.38,1.02397,0.96717,1.39507,0.91842,0.83403,0.91808,0.70787,0.93159,0.70842,1.32449,0.007921,0.007921,0.007921
23,6830.67,1.01462,0.94351,1.38801,0.8898,0.90877,0.93606,0.70265,0.9361,0.78218,1.36795,0.007822,0.007822,0.007822
24,7134.52,0.97769,0.92165,1.37139,0.91328,0.90987,0.92742,0.71423,0.89986,0.67854,1.3675,0.007723,0.007723,0.007723
